variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
ORC-SHADE[no-orc],10,1,27,0.0,42.77,0.0,-0.0189,2.0,0,6.804776830904302e-07,0.0,0.0,0.0,0.0
ORC-SHADE,10,7,29,2.1600794752885122e-07,161.33,31.9,-0.7426,0.0,2,21.756118318701738,3.3920170011840582,0.3646753940390681,0.33803852474193263,2.1600794752885122e-07
ORC-SHADE,10,12,0,166.38750694155897,79.18,11.12,0.0,0.0,0,166.38802813284656,166.38750694155942,166.38750694155897,166.38750694155897,166.38750694155897
ORC-SHADE,10,7,27,2.0863808458670974e-09,162.22,31.99,-0.5,0.0,1,15.228324679722164,2.6457775408500765,0.33313952493722354,0.2033274194986916,2.0863808458670974e-09
ORC-SHADE[no-orc],10,2,26,3.986579112347158,25.09,0.0,0.0,2.0,0,5.703434606631106,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,12,1,164.47351934602648,79.07,10.47,0.0,0.0,0,164.48408212332106,164.47351934602648,164.47351934602648,164.47351934602648,164.47351934602648
ORC-SHADE,10,7,28,1.1795668797276448e-07,163.19,29.64,-0.4819,0.0,1,29.1715005401727,5.677670483526299,0.3501146085880009,0.08627311487566658,1.1795668797276448e-07
ORC-SHADE,10,7,16,2.2646418074145913e-10,164.42,34.16,-0.6453,0.0,2,23.811033513547954,3.4140978975267444,0.5105966188386901,8.864399501362641e-05,2.2646418074145913e-10
ORC-SHADE,10,7,19,8.061556400207337e-07,164.29,27.83,-0.5,0.0,2,22.31780229362289,2.117032719840836,0.558549776515747,0.12177012485585692,8.061556400207337e-07
ORC-SHADE[no-orc],10,2,2,3.986579112347158,42.92,0.0,-0.5342,2.0,0,3.9868069081451267,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,2,0,3.986579112347158,43.82,0.0,0.0,2.0,0,4.02893662342359,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE,10,7,26,1.3086264516459778e-08,165.52,30.88,-0.25,0.0,1,25.905355452247704,6.1341129052673296,0.7067650068102012,0.11803208800552056,1.3086264516459778e-08
ORC-SHADE,10,12,2,166.38750694155942,82.27,13.42,-0.025,0.0,0,166.39248806127762,166.38750694155988,166.38750694155942,166.38750694155942,166.38750694155942
ORC-SHADE,10,7,5,2.4672067411302123e-07,170.29,28.69,-0.0016,0.0,0,24.07891696594902,7.6464202922554705,0.600786428540232,0.10944136588705078,2.4672067411302123e-07
ORC-SHADE[no-orc],10,2,28,8.916101927781312,26.38,0.0,0.0,2.0,0,8.91610268305152,8.916101927781312,8.916101927781312,8.916101927781312,8.916101927781312
