variant,func,seed,best_fit,elapsed_s,explore_pct
"B:km=.05,pe=.05,k=10",10,2,220.8726497489797,56.34,7.2
"B:km=.05,pe=.05,k=10",6,2,0.20501836007110796,77.66,50.87
"A:km=0,pe=.05,k=10",6,1,0.2586378745447746,76.02,60.53
"A:km=0,pe=.05,k=10",6,4,0.4092360656325127,78.01,51.93
"A:km=0,pe=.05,k=10",11,4,0.0,78.62,10.82
"B:km=.05,pe=.05,k=10",4,2,8.000001072390887,79.8,14.42
"B:km=.05,pe=.05,k=10",4,3,8.000007329335745,79.91,11.32
"C:km=0,pe=0,k=10",2,4,3.986579112347158,48.0,9.57
"D:km=0,pe=.05,k=7",1,1,0.0,22.49,6.15
"D:km=0,pe=.05,k=7",1,0,0.0,22.65,6.25
"A:km=0,pe=.05,k=10",10,4,220.8726497489797,79.17,6.48
"D:km=0,pe=.05,k=7",1,2,0.0,22.93,6.24
"D:km=0,pe=.05,k=7",1,4,0.0,23.13,6.92
"D:km=0,pe=.05,k=7",1,3,0.0,24.73,7.45
"A:km=0,pe=.05,k=10",12,2,166.38750694155897,82.71,12.0
"D:km=0,pe=.05,k=7",2,1,3.986579112347158,24.6,8.12
"D:km=0,pe=.05,k=7",2,0,3.986579112347158,25.04,8.26
"B:km=.05,pe=.05,k=10",4,4,8.000016542480353,84.41,15.94
"A:km=0,pe=.05,k=10",4,4,10.00000232058676,83.43,17.87
"B:km=.05,pe=.05,k=10",9,4,0.0,67.62,10.93
"D:km=0,pe=.05,k=7",2,3,3.986579112347158,25.72,7.78
"D:km=0,pe=.05,k=7",2,2,8.916101927781312,25.82,7.06
"A:km=0,pe=.05,k=10",12,1,166.38750694155897,86.81,12.14
"A:km=0,pe=.05,k=10",12,3,165.46842172031893,87.24,13.39
"A:km=0,pe=.05,k=10",12,0,164.47351934602648,91.12,11.52
"B:km=.05,pe=.05,k=10",11,1,0.0,71.29,10.48
"D:km=0,pe=.05,k=7",3,2,0.0,30.27,3.82
"D:km=0,pe=.05,k=7",5,1,0.0,26.09,4.65
"D:km=0,pe=.05,k=7",5,0,0.0,27.1,4.84
"A:km=0,pe=.05,k=10",4,3,14.000001596480502,93.77,16.04
"A:km=0,pe=.05,k=10",10,2,220.8726497489797,93.66,6.48
"D:km=0,pe=.05,k=7",5,3,0.0,26.78,4.78
"D:km=0,pe=.05,k=7",3,3,0.0,30.24,4.2
"D:km=0,pe=.05,k=7",3,4,0.0,31.9,3.9
"A:km=0,pe=.05,k=10",9,3,4.547473508864641e-13,96.98,10.75
"B:km=.05,pe=.05,k=10",6,3,0.36769711335682587,97.38,57.93
"D:km=0,pe=.05,k=7",5,2,0.0,30.39,4.73
"B:km=.05,pe=.05,k=10",11,3,4.547473508864641e-13,76.17,10.5
"A:km=0,pe=.05,k=10",9,2,4.547473508864641e-13,98.29,10.62
NL-SHADE,11,4,0.0,100.29,
"D:km=0,pe=.05,k=7",2,4,3.986579112347158,39.36,10.14
NL-SHADE,11,0,0.0,100.62,
"B:km=.05,pe=.05,k=10",12,0,164.47351934602648,77.49,11.89
"B:km=.05,pe=.05,k=10",11,2,0.0,79.42,9.97
NL-SHADE,12,2,164.47351934602648,102.24,
NL-SHADE,11,1,4.547473508864641e-13,103.25,
"A:km=0,pe=.05,k=10",11,1,0.0,103.09,10.76
"C:km=0,pe=0,k=10",10,4,220.8726497489797,51.75,6.74
"D:km=0,pe=.05,k=7",5,4,0.0,36.0,4.89
NL-SHADE,7,2,6.314166967058554e-10,106.73,
