algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
RE,cifar10,200,83,80.0663,19.9337,200,0.032,False
ORC-RE,cifar10,100,65,80.0663,19.9337,100,14.051,False
RE,cifar10,200,89,80.0663,19.9337,200,0.02,False
RE,cifar10,200,87,80.0663,19.9337,200,0.029,False
RE,cifar10,200,93,80.0663,19.9337,200,0.028,False
RE,cifar10,200,85,80.0663,19.9337,200,0.064,False
RE,cifar10,200,88,80.0663,19.9337,200,0.024,False
RE,cifar10,200,86,80.0663,19.9337,200,0.039,False
RE,cifar10,200,91,80.0663,19.9337,200,0.036,False
Tabu,cifar10,200,1,80.0663,19.9337,200,0.006,False
RE,cifar10,200,96,80.0663,19.9337,200,0.028,False
Tabu,cifar10,200,2,80.0663,19.9337,200,0.006,False
RE,cifar10,200,97,89.9837,10.0163,200,0.067,False
RE,cifar10,200,76,80.0663,19.9337,200,0.078,False
ORC-RE,cifar10,100,44,80.0663,19.9337,100,14.189,False
RE,cifar10,200,95,80.0663,19.9337,200,0.087,False
Tabu,cifar10,200,4,80.0663,19.9337,200,0.003,False
RE,cifar10,200,84,82.0162,17.9838,200,0.059,False
RE,cifar10,200,99,80.0663,19.9337,200,0.069,False
RE,cifar10,200,98,80.0663,19.9337,200,0.069,False
Tabu,cifar10,200,6,80.0663,19.9337,200,0.008,False
Tabu,cifar10,200,13,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,24,80.0663,19.9337,200,0.003,False
Tabu,cifar10,200,7,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,18,80.0663,19.9337,200,0.003,False
Tabu,cifar10,200,14,80.0663,19.9337,200,0.007,False
Tabu,cifar10,200,10,80.0663,19.9337,200,0.003,False
Tabu,cifar10,200,11,80.0663,19.9337,200,0.007,False
Tabu,cifar10,200,15,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,0,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,17,80.0663,19.9337,200,0.002,False
RE,cifar10,200,90,80.0663,19.9337,200,0.075,False
Tabu,cifar10,200,22,80.0663,19.9337,200,0.002,False
